molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL101052,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,IC50,=,36000.0,nM,409.4900000000001,3.2737000000000016,3.0,8.0,4.443697499232712,0
CHEMBL260416,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,IC50,=,2.0,nM,373.21000000000015,3.4415000000000004,3.0,4.0,8.698970004336019,1
CHEMBL84944,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,IC50,=,30.0,nM,384.4840000000001,3.1537000000000015,4.0,8.0,7.522878745280337,1
CHEMBL419720,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1,IC50,=,200.0,nM,568.4380000000002,5.764600000000005,2.0,7.0,6.698970004336019,0
CHEMBL260929,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,IC50,=,497.0,nM,266.30400000000003,2.906500000000001,3.0,2.0,6.303643611266668,0
CHEMBL86066,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,IC50,=,8000.0,nM,326.4040000000001,2.4235,3.0,7.0,5.096910013008056,0
CHEMBL101311,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,IC50,=,1000.0,nM,448.3540000000001,4.571900000000003,3.0,7.0,6.0,0
CHEMBL100675,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,IC50,=,22000.0,nM,427.9360000000002,4.2269200000000025,3.0,7.0,4.657577319177793,0
CHEMBL260231,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,IC50,=,639.0,nM,363.2400000000002,3.7974000000000014,2.0,4.0,6.1944991418416,0
CHEMBL99689,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,IC50,=,4000.0,nM,404.4740000000001,3.136780000000001,3.0,8.0,5.3979400086720375,0
CHEMBL100811,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,IC50,=,28000.0,nM,458.36000000000007,4.027600000000002,3.0,7.0,4.552841968657781,0
CHEMBL328623,Cc1ccc(F)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,IC50,=,81000.0,nM,411.48100000000017,3.712620000000003,3.0,7.0,4.0915149811213505,0
CHEMBL260163,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,IC50,=,5.0,nM,293.3260000000001,3.2840000000000016,3.0,3.0,8.301029995663981,1
CHEMBL421207,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,IC50,=,631.0,nM,267.288,3.171400000000001,2.0,3.0,6.199970640755866,0
CHEMBL427909,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,IC50,=,5.0,nM,370.41200000000015,4.346000000000002,3.0,4.0,8.301029995663981,1
CHEMBL315837,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,IC50,=,900.0,nM,318.42500000000007,2.5560000000000005,3.0,7.0,6.045757490560675,0
CHEMBL83980,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,IC50,=,800.0,nM,340.43100000000015,2.8136000000000005,3.0,7.0,6.096910013008056,0
CHEMBL101156,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1,IC50,=,3000.0,nM,501.4180000000003,4.880080000000004,2.0,8.0,5.522878745280337,0
CHEMBL101473,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,IC50,=,8000.0,nM,393.49100000000004,3.573520000000002,3.0,7.0,5.096910013008056,0
CHEMBL260928,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,IC50,=,484.0,nM,283.3560000000001,3.6399000000000017,2.0,3.0,6.315154638355588,0
CHEMBL99687,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,IC50,=,26000.0,nM,393.4910000000001,3.573520000000002,3.0,7.0,4.585026652029182,0
CHEMBL84140,CC(C)n1cnc2c(N)nc(NCCCO)nc21,IC50,=,2400.0,nM,250.30599999999998,0.7836999999999998,3.0,7.0,5.619788758288394,0
CHEMBL101887,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1,IC50,=,12000.0,nM,558.4320000000002,6.308900000000006,2.0,7.0,4.920818753952375,0
CHEMBL407981,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,IC50,=,60.0,nM,487.4020000000002,3.449200000000001,3.0,6.0,7.221848749616356,1
CHEMBL259838,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,IC50,=,2.0,nM,328.7590000000001,3.3324000000000007,3.0,4.0,8.698970004336019,1
CHEMBL101868,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,IC50,=,85000.0,nM,409.4900000000001,3.2737000000000016,3.0,8.0,4.070581074285707,0
CHEMBL322640,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,IC50,=,22000.0,nM,448.35400000000016,4.571900000000003,3.0,7.0,4.657577319177793,0
CHEMBL430507,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1,IC50,=,700.0,nM,487.39100000000025,4.489980000000004,2.0,8.0,6.154901959985743,0
CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,IC50,=,500.0,nM,413.90900000000005,3.9185000000000016,3.0,7.0,6.301029995663981,0
CHEMBL408019,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,IC50,=,62.0,nM,294.31400000000014,2.6790000000000003,3.0,4.0,7.2076083105017466,1
CHEMBL99647,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1,IC50,=,95000.0,nM,413.9090000000001,3.9185000000000016,3.0,7.0,4.022276394711152,0
CHEMBL280074,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,IC50,=,1200.0,nM,298.35,1.3795999999999995,3.0,7.0,5.920818753952375,0
CHEMBL101679,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,IC50,=,6000.0,nM,413.90900000000005,3.9185000000000016,3.0,7.0,5.221848749616356,0
CHEMBL322019,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,IC50,=,2000.0,nM,486.40300000000013,4.599600000000004,2.0,7.0,5.698970004336019,0
CHEMBL99948,Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,IC50,=,5000.0,nM,427.93600000000026,4.226920000000003,3.0,7.0,5.301029995663981,0
CHEMBL260417,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,IC50,=,5.0,nM,373.21000000000015,3.4415000000000004,3.0,4.0,8.301029995663981,1
