activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,105376,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '10.85', 'le': '0.20', 'lle': '1.17', 'sei': '4.84'}",CHEMBL101052,,CHEMBL101052,4.44,False,http://www.openphacts.org/units/Nanomolar,187122,=,1,True,=,,IC50,nM,,36000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,36.0
,106512,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.31', 'le': '0.52', 'lle': '5.26', 'sei': '9.57'}",CHEMBL260416,,CHEMBL260416,8.70,True,http://www.openphacts.org/units/Nanomolar,194036,=,1,True,=,,IC50,nM,,2.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,2.0
,107704,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL261690,,CHEMBL261690,,True,http://www.openphacts.org/units/Nanomolar,194014,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,107706,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CCCC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL406644,,CHEMBL406644,,True,http://www.openphacts.org/units/Nanomolar,194013,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,108039,[],CHEMBL661130,Inhibition of Cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,,,CHEMBL1133758,J. Med. Chem.,2000,"{'bei': '19.57', 'le': '0.37', 'lle': '4.37', 'sei': '6.96'}",CHEMBL84944,,CHEMBL84944,7.52,False,http://www.openphacts.org/units/Nanomolar,150673,=,1,True,=,,IC50,nM,,30.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,0.03
,108796,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '11.78', 'le': '0.25', 'lle': '0.94', 'sei': '9.08'}",CHEMBL419720,,CHEMBL419720,6.70,False,http://www.openphacts.org/units/Nanomolar,187110,=,1,True,=,,IC50,nM,,200.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,0.2
,108798,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,"{'bei': '23.67', 'le': '0.43', 'lle': '3.39', 'sei': '8.57'}",CHEMBL260929,,CHEMBL260929,6.30,True,http://www.openphacts.org/units/Nanomolar,194023,=,1,True,=,,IC50,nM,,497.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,497.0
,108800,[],CHEMBL661128,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,,,CHEMBL1136207,Bioorg. Med. Chem. Lett.,2003,,CHEMBL407980,,CHEMBL407980,,True,http://www.openphacts.org/units/Nanomolar,194004,>,1,True,>,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,nM,UO_0000065,,1000.0
,110543,[],CHEMBL661130,Inhibition of Cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,,,CHEMBL1133758,J. Med. Chem.,2000,"{'bei': '15.62', 'le': '0.29', 'lle': '2.68', 'sei': '5.80'}",CHEMBL86066,,CHEMBL86066,5.10,False,http://www.openphacts.org/units/Nanomolar,150668,=,1,True,=,,IC50,nM,,8000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,8.0
,111576,[],CHEMBL660784,Inhibitory concentration against cyclin-dependent kinase 2,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,,,CHEMBL1136192,Bioorg. Med. Chem. Lett.,2003,"{'bei': '13.38', 'le': '0.27', 'lle': '1.43', 'sei': '7.27'}",CHEMBL101311,,CHEMBL101311,6.00,True,http://www.openphacts.org/units/Nanomolar,187117,=,1,True,=,,IC50,nM,,1000.0,CHEMBL301,Homo sapiens,Cyclin-dependent kinase 2,9606,,,IC50,uM,UO_0000065,,1.0
