smiles,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,CHEMBL3954643,O=C1NCC2(CCCC2)n2c1cc1cnc(Nc3ccc(N4CCNCC4)cn3)nc12,IC50,=,11100.0,nM,418.50500000000017,1.9921999999999995,3.0,8.0,4.9546770212133415,0
O=c1c(Br)cc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1C1CCCC1,CHEMBL190281,O=c1c(Br)cc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1C1CCCC1,IC50,=,43.0,nM,469.3870000000004,3.8223000000000016,2.0,7.0,7.366531544420414,1
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCCNCC4)cn3)nc2n1C1CCCC1,CHEMBL3654239,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCCNCC4)cn3)nc2n1C1CCCC1,IC50,=,8000.0,nM,448.57500000000033,3.186500000000001,2.0,8.0,5.096910013008057,0
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCC(CCO)CC4)cn3)nc2n1C1CCCC1,CHEMBL3658023,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCC(CCO)CC4)cn3)nc2n1C1CCCC1,IC50,=,2900.0,nM,477.6130000000003,3.9856000000000034,2.0,8.0,5.537602002101044,0
CN(C)C1CCN(c2ccc(Nc3ncc4cc(C#N)n(C5CCCC5)c4n3)nc2)CC1,CHEMBL3658034,CN(C)C1CCN(c2ccc(Nc3ncc4cc(C#N)n(C5CCCC5)c4n3)nc2)CC1,IC50,=,8300.0,nM,430.5600000000003,4.087080000000003,1.0,8.0,5.080921907623925,0
c1ncc(-c2cc3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n2C2CCCC2)o1,CHEMBL3654243,c1ncc(-c2cc3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n2C2CCCC2)o1,IC50,=,3500.0,nM,430.5160000000003,3.749600000000002,2.0,9.0,5.455931955649724,0
c1ncc(-c2cc3cnc(Nc4ccc(CN5CCNCC5)cn4)nc3n2C2CCCC2)o1,CHEMBL3654250,c1ncc(-c2cc3cnc(Nc4ccc(CN5CCNCC5)cn4)nc3n2C2CCCC2)o1,IC50,=,2800.0,nM,444.5430000000003,3.7452000000000014,2.0,9.0,5.552841968657781,0
CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,CHEMBL3545110,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,IC50,=,76000.0,nM,434.5480000000002,2.7964,2.0,8.0,4.1191864077192095,0
C[C@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,CHEMBL3929399,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,IC50,=,6350.0,nM,490.61200000000053,2.4755000000000003,3.0,9.0,5.197226274708024,0
C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC1CC1,CHEMBL3917699,C[C@H]1CN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CCN1CC1CC1,IC50,=,3040.0,nM,500.6510000000005,3.893200000000003,2.0,8.0,5.517126416391246,0
