molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,IC50,=,750,nM,312.325,2.8032,0,6,6.124938737,0
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,IC50,=,100,nM,376.913,4.5546,0,5,7,1
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,IC50,=,300,nM,404.845,4.7069,0,5,6.522878745,0
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,=,800,nM,346.334,3.0953,0,6,6.096910013,0
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,2400,nM,338.436,4.07992,0,5,5.619788758,0
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,100,nM,296.783,2.8501,0,5,7,1
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,IC50,=,800,nM,292.364,2.2053,0,6,6.096910013,0
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,IC50,=,50,nM,312.398,3.3499,0,5,7.301029996,1
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,IC50,=,560,nM,338.436,3.8637,0,5,6.251811973,0
CHEMBL131536,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1400,nM,358.854,4.4249,0,5,5.853871964,0
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,IC50,=,17000,nM,266.341,2.57312,0,4,4.769551079,0
CHEMBL334971,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1100,nM,368.462,4.1702,0,6,5.958607315,0
CHEMBL130666,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,IC50,=,26,nM,336.848,3.7744,0,5,7.585026652,1
CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,=,800,nM,276.365,2.50512,0,5,6.096910013,0
CHEMBL336524,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,56,nM,310.81,3.2402,0,5,7.251811973,1
CHEMBL336276,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,IC50,=,200,nM,346.5,4.45562,0,5,6.698970004,0
CHEMBL334395,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,300,nM,324.837,3.6303,0,5,6.522878745,0
CHEMBL131320,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,IC50,=,200,nM,344.362,3.43762,0,5,6.698970004,0
CHEMBL337714,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,=,500,nM,330.335,3.2155,0,5,6.301029996,0
CHEMBL46151,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1,IC50,=,260000,nM,310.419,2.7406,1,6,3.585026652,0
CHEMBL54126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,IC50,=,22,nM,223.296,1.9437,0,2,7.657577319,1
CHEMBL65667,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,3800,nM,388.512,1.8664,1,6,5.420216403,0
CHEMBL431519,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,40,nM,486.701,4.5971,1,6,7.397940009,1
CHEMBL154972,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,73,nM,402.502,3.54596,2,7,7.13667714,1
CHEMBL152722,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1,IC50,=,3100,nM,380.876,2.105,3,6,5.508638306,0
CHEMBL544022,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1,IC50,=,520000,nM,314.838,3.3854,1,5,3.283996656,0
CHEMBL349127,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,=,4500,nM,369.473,0.28056,2,8,5.346787486,0
CHEMBL156659,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,1200,nM,354.454,3.1106,2,6,5.920818754,0
CHEMBL155322,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,540,nM,368.485,1.90756,2,7,6.26760624,0
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,IC50,=,30,nM,354.458,1.51906,2,7,7.522878745,1
CHEMBL1203537,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N,IC50,=,830,nM,342.447,1.42286,3,7,6.080921908,0
CHEMBL345849,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,IC50,=,390,nM,370.457,0.48986,3,8,6.408935393,0
CHEMBL154689,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,390,nM,314.393,0.59476,2,7,6.408935393,0
CHEMBL346733,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,430,nM,328.42,0.98486,2,7,6.366531544,0
CHEMBL1203539,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,600,nM,342.447,1.37496,2,7,6.22184875,0
CHEMBL63173,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,21000,nM,402.539,2.2565,1,6,4.677780705,0
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,=,290,nM,359.514,4.1145,1,4,6.537602002,0
CHEMBL292788,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,700,nM,374.485,1.4763,1,6,6.15490196,0
CHEMBL33051,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,IC50,=,460000,nM,288.307,-0.1996,2,4,3.337242168,0
CHEMBL155392,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,IC50,=,630,nM,302.382,0.49856,3,7,6.200659451,0
CHEMBL153311,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,IC50,=,2100,nM,358.49,2.05576,3,7,5.677780705,0
CHEMBL543546,CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C,IC50,=,330000,nM,342.892,4.1624,1,5,3.48148606,0
CHEMBL154263,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,IC50,=,290,nM,368.485,1.76506,2,7,6.537602002,0
CHEMBL544669,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1,IC50,=,210000,nM,359.289,3.4945,1,5,3.677780705,0
CHEMBL62664,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,40,nM,500.728,4.9872,1,6,7.397940009,1
CHEMBL155111,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,IC50,=,80,nM,340.431,1.12896,2,7,7.096910013,1
CHEMBL1203534,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,IC50,=,95,nM,352.442,1.29506,2,7,7.022276395,1
CHEMBL541044,CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1,IC50,=,710000,nM,331.235,2.7143,1,5,3.148741651,0
CHEMBL543779,CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1,IC50,=,180000,nM,305.403,2.60368,1,6,3.744727495,0
CHEMBL64011,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,60,nM,472.674,4.207,1,6,7.22184875,1
CHEMBL65585,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,70,nM,514.755,5.3773,1,6,7.15490196,1
CHEMBL347539,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,IC50,=,280,nM,328.42,1.03276,3,7,6.552841969,0
CHEMBL154433,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,IC50,=,11000,nM,356.43,0.36536,2,8,4.958607315,0
CHEMBL157208,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,IC50,=,1500,nM,372.498,1.08196,2,8,5.823908741,0
CHEMBL1790041,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,IC50,=,650,nM,314.411,1.459,2,7,6.187086643,0
CHEMBL65356,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,930,nM,430.593,3.0367,1,6,6.031517051,0
CHEMBL154366,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,IC50,=,370,nM,368.485,1.76506,2,7,6.431798276,0
CHEMBL153821,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,IC50,=,4500,nM,382.512,2.29606,2,7,5.346787486,0
CHEMBL416644,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1,IC50,=,720000,nM,313.418,3.0157,1,4,3.142667504,0
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,=,30,nM,275.352,1.7739,1,4,7.522878745,1
CHEMBL303574,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,7600,nM,416.566,2.6466,1,6,5.119186408,0
CHEMBL65018,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,80,nM,458.647,3.8169,1,6,7.096910013,1
CHEMBL66309,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,IC50,=,380,nM,444.62,3.4268,1,6,6.420216403,0
CHEMBL1203535,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,IC50,=,3300,nM,384.484,1.14396,2,8,5.48148606,0
CHEMBL152260,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,IC50,=,370,nM,370.457,0.48986,3,8,6.431798276,0
