smiles,molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
O=C(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,CHEMBL238230,O=C(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,1.83,nM,506.69400000000036,7.194100000000009,2.0,5.0,8.73754891026957,1
Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,=,254.0,nM,198.26899999999992,2.695800000000001,1.0,2.0,6.5951662833800615,0
CCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,CHEMBL59782,CCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,=,13.0,nM,330.9030000000002,6.1493000000000055,1.0,2.0,7.886056647693162,1
CCCCCCCNc1c2c(nc3cc(F)ccc13)CCCC2,CHEMBL61561,CCCCCCCNc1c2c(nc3cc(F)ccc13)CCCC2,IC50,=,45.0,nM,314.4480000000002,5.635000000000005,1.0,2.0,7.346787486224656,1
CCCCCCCNc1c2c(nc3cc(C)ccc13)CCCC2,CHEMBL61221,CCCCCCCNc1c2c(nc3cc(C)ccc13)CCCC2,IC50,=,130.0,nM,310.4850000000002,5.804320000000006,1.0,2.0,6.886056647693162,0
CCCCCCCNc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2,CHEMBL294525,CCCCCCCNc1c2c(nc3cc([N+](=O)[O-])ccc13)CCCC2,IC50,=,290.0,nM,341.4550000000002,5.404100000000005,1.0,4.0,6.537602002101044,0
CCCCCCCNc1c2c(nc3ccc(C)cc13)CCCC2,CHEMBL61849,CCCCCCCNc1c2c(nc3ccc(C)cc13)CCCC2,IC50,=,390.0,nM,310.4850000000002,5.804320000000005,1.0,2.0,6.4089353929735005,0
Cc1ccc2nc3c(c(NCc4ccccc4)c2c1)CCCC3,CHEMBL64815,Cc1ccc2nc3c(c(NCc4ccccc4)c2c1)CCCC3,IC50,=,3700.0,nM,302.42100000000016,5.034120000000003,1.0,2.0,5.431798275933005,0
CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2,CHEMBL61986,CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2,IC50,=,460.0,nM,326.4840000000002,5.504500000000005,1.0,3.0,6.337242168318426,0
Clc1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,CHEMBL59628,Clc1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,IC50,=,170.0,nM,322.83900000000017,5.379100000000004,1.0,2.0,6.769551078621726,0
