molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL324109,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CCSC)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,=,460.0,nM,751.9880000000002,2.3535000000000066,8.0,9.0,6.337242168318426,0
CHEMBL114147,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,=,9000.0,nM,737.8950000000003,1.962600000000004,8.0,8.0,5.045757490560675,0
CHEMBL116826,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CC[S+](C)[O-])[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,=,34000.0,nM,767.9870000000001,1.3690000000000073,8.0,9.0,4.468521082957745,0
CHEMBL143239,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)C(O)c1ccccc1-c1ccccc1)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,IC50,=,20.0,nM,717.7220000000002,4.319600000000001,7.0,7.0,7.698970004336019,1
CHEMBL332948,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,=,21.0,nM,767.965,2.843100000000007,8.0,8.0,7.6777807052660805,1
CHEMBL332260,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,IC50,=,50.0,nM,794.0030000000002,3.3773000000000053,8.0,8.0,7.301029995663981,1
CHEMBL142715,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,IC50,=,350.0,nM,425.6160000000003,6.913500000000007,0.0,2.0,6.455931955649724,0
CHEMBL290001,CSCC[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,IC50,=,2.0,nM,722.0060000000001,4.148800000000005,6.0,8.0,8.698970004336019,1
CHEMBL114169,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1)C(=O)NCc1ccc(C(=O)O)cc1,IC50,=,1300.0,nM,735.9229999999999,2.5785000000000036,8.0,8.0,5.886056647693163,0
CHEMBL143687,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,IC50,=,120.0,nM,745.7760000000001,4.496400000000005,5.0,9.0,6.920818753952375,0
